Primary Id,Event Id,Event Name,Locations,Date_Time,Semester,Attendee Names,Gender,Department,Degree,Email,Phone Number,Rating,Attendee Satisfaction,Promotion Source,Interesting Exhibit Booths,Food 
1,1,Bytes Over Bites,"94080 Sierra Crossing Suite 691, Williamsbury, AZ 55855",29/1/2023 22:20,Spring,Marion,Male,Computer Science,Graduate,brendabutler@example.org,136.741.7048x6185,1,Highly Satisfied ,Social Media,0,Yes
2,1,Bytes Over Bites,"94080 Sierra Crossing Suite 691, Williamsbury, AZ 55855",29/1/2023 22:20,Spring,James,Male,Mechanical Engineering,Undergraduate,ileon@example.org,239.558.2037x479,3,Highly Satisfied ,Social Media,0,Yes
3,1,Bytes Over Bites,"94080 Sierra Crossing Suite 691, Williamsbury, AZ 55855",29/1/2023 22:20,Spring,John,Male,Civil Engineering,Graduate,tiffany07@example.net,001-093-353-7726,2,Somewhat Satisfied,Social Media,2,No
4,1,Bytes Over Bites,"94080 Sierra Crossing Suite 691, Williamsbury, AZ 55855",29/1/2023 22:20,Spring,Robert,Male,Computer Science,Undergraduate,donnawilson@example.org,988-810-6556x1444,3,Neutral,Email,3,No
5,1,Bytes Over Bites,"94080 Sierra Crossing Suite 691, Williamsbury, AZ 55855",29/1/2023 22:20,Spring,Michael,Male,Chemical Engineering,Undergraduate,joseph92@example.com,(555) 555-1234,1,Highly Satisfied ,Social Media,0,No
7,1,Bytes Over Bites,"94080 Sierra Crossing Suite 691, Williamsbury, AZ 55855",29/1/2023 22:20,Spring,William,Male,Mechanical Engineering,Undergraduate,christopher33@example.net,(113)852-5774x399,3,Neutral,Tech News,0,No
6,1,Bytes Over Bites,"94080 Sierra Crossing Suite 691, Williamsbury, AZ 55855",29/1/2023 22:20,Spring,Mary,Female,Mechanical Engineering,Graduate,mike52@example.com,431.758.6449x602,3,Somewhat Satisfied,Friends/Professors,2,No
8,1,Bytes Over Bites,"94080 Sierra Crossing Suite 691, Williamsbury, AZ 55855",29/1/2023 22:20,Spring,David,Male,Electrical Engineering,Graduate,smithnatasha@example.net,(820) 359-4681,4,Somewhat Satisfied,Tech News,2,Yes
12,1,Bytes Over Bites,"94080 Sierra Crossing Suite 691, Williamsbury, AZ 55855",29/1/2023 22:20,Spring,Joseph,Male,Computer Science,Graduate,gatkinson@example.com,001-307-416-3958,2,Highly Satisfied ,Social Media,0,No
26,1,Bytes Over Bites,"94080 Sierra Crossing Suite 691, Williamsbury, AZ 55855",29/1/2023 22:20,Spring,Richard,Male,Mechanical Engineering,Undergraduate,charlesfranklin@example.net,739-067-5315x04509,5,Highly Satisfied ,Posters,1,Yes
23,1,Bytes Over Bites,"94080 Sierra Crossing Suite 691, Williamsbury, AZ 55855",29/1/2023 22:20,Spring,Charles,Male,Civil Engineering,Graduate,davidrivera@example.org,482-695-6859x3490,1,Somewhat Satisfied,Posters,3,Yes
25,1,Bytes Over Bites,"94080 Sierra Crossing Suite 691, Williamsbury, AZ 55855",29/1/2023 22:20,Spring,Thomas,Male,Computer Science,Undergraduate,rebecca38@example.com,(983) 137-9545,4,Highly Satisfied ,Email,2,Yes
39,1,Bytes Over Bites,"94080 Sierra Crossing Suite 691, Williamsbury, AZ 55855",29/1/2023 22:20,Spring,Christopher,Male,Mechanical Engineering,Undergraduate,jonathonwarner@example.com,+1-974-500-1540x532,3,Neutral,Friends/Professors,1,No
